candidate,corner,duty,trip_time_s_median,ruler_trip_time_s_median,pct_vs_ruler_median_of_medians,paired_pct_min,paired_pct_median,paired_pct_max,r38_gate_pct,is_design_duty,gate_applied_by
S0R,cold_minus10C,GH-REG-165,9793.3,9793.3,0,0,0,0,5,True,LEAD_APPLIES_R38
S0R,cold_minus10C,LH-520,21958.4,21958.4,0,0,0,0,5,False,LEAD_APPLIES_R38
S0R,grade_heavy,GH-REG-165,9776.05,9776.05,0,0,0,0,5,True,LEAD_APPLIES_R38
S0R,grade_heavy,LH-520,22377.7,22377.7,0,0,0,0,5,False,LEAD_APPLIES_R38
S0R,hot_alt_2000m_45C,GH-REG-165,9841.15,9841.15,0,0,0,0,5,True,LEAD_APPLIES_R38
S0R,hot_alt_2000m_45C,LH-520,22007.8,22007.8,0,0,0,0,5,False,LEAD_APPLIES_R38
S0R,nominal,GH-REG-165,9776.05,9776.05,0,0,0,0,5,True,LEAD_APPLIES_R38
S0R,nominal,LH-520,21896.4,21896.4,0,0,0,0,5,False,LEAD_APPLIES_R38
S0R,payload_minus20,GH-REG-165,9669.95,9669.95,0,0,0,0,5,True,LEAD_APPLIES_R38
S0R,payload_minus20,LH-520,21665,21665,0,0,0,0,5,False,LEAD_APPLIES_R38
S0R,payload_plus20,GH-REG-165,9900.9,9900.9,0,0,0,0,5,True,LEAD_APPLIES_R38
S0R,payload_plus20,LH-520,22177.8,22177.8,0,0,0,0,5,False,LEAD_APPLIES_R38
S4p,cold_minus10C,GH-REG-165,9540.4,9793.3,-2.58238,-3.01195,-2.70704,-1.96788,5,True,LEAD_APPLIES_R38
S4p,cold_minus10C,LH-520,21352.9,21958.4,-2.75771,-3.50553,-2.75717,-2.21786,5,False,LEAD_APPLIES_R38
S4p,grade_heavy,GH-REG-165,9530,9776.05,-2.51687,-2.98141,-2.64932,-1.89197,5,True,LEAD_APPLIES_R38
S4p,grade_heavy,LH-520,21428.8,22377.7,-4.24017,-5.28266,-4.23986,-3.28146,5,False,LEAD_APPLIES_R38
S4p,hot_alt_2000m_45C,GH-REG-165,9543.05,9841.15,-3.02912,-3.4449,-3.14138,-2.32657,5,True,LEAD_APPLIES_R38
S4p,hot_alt_2000m_45C,LH-520,21343.5,22007.8,-3.01892,-3.67981,-3.01876,-2.48152,5,False,LEAD_APPLIES_R38
S4p,nominal,GH-REG-165,9530,9776.05,-2.51687,-2.98141,-2.64932,-1.89197,5,True,LEAD_APPLIES_R38
S4p,nominal,LH-520,21327.1,21896.4,-2.6002,-3.24146,-2.59992,-2.12134,5,False,LEAD_APPLIES_R38
S4p,payload_minus20,GH-REG-165,9469.45,9669.95,-2.07343,-2.46647,-2.12187,-1.47944,5,True,LEAD_APPLIES_R38
S4p,payload_minus20,LH-520,21227.3,21665,-2.02008,-2.58003,-2.02043,-1.62109,5,False,LEAD_APPLIES_R38
