engine,ratio_high,ratio_low,grade,status,gear,v_hold_kmh,F_available_kN,F_required_kN
ENG-11L,3.60789,7.42505,0,holds,high,109.62,7.30761,5.00814
ENG-11L,3.60789,7.42505,0.02,holds,high,83.16,10.8619,10.8339
ENG-11L,3.60789,7.42505,0.03,holds,low,53.28,14.725,13.3564
ENG-11L,3.60789,7.42505,0.04,holds,low,49.68,16.8491,16.8161
ENG-11L,3.60789,7.42505,0.06,holds,low,37.08,23.6852,23.6318
ENG-13L,2.73671,5.63215,0,holds,high,118.62,9.96141,5.52944
ENG-13L,2.73671,5.63215,0.02,holds,high,101.16,11.6781,11.6758
ENG-13L,2.73671,5.63215,0.03,holds,low,70.2,14.4987,13.8866
ENG-13L,2.73671,5.63215,0.04,holds,low,64.26,17.2486,17.2377
ENG-13L,2.73671,5.63215,0.06,holds,low,48.24,23.9293,23.8734
