key,ws8_module,symbol,resolved_in,found,source_bytes,source_sha256_16,status_r2_to_r3,used_by
run_ws8[rule-source, not imported]:CORRECTION_ETA_BOUNDS,run_ws8[rule-source, not imported],CORRECTION_ETA_BOUNDS,run_ws8,True,36,7085eeba62e63254,SAME,ws9_corrections.py
run_ws8[rule-source, not imported]:apply_energy_corrections,run_ws8[rule-source, not imported],apply_energy_corrections,run_ws8,True,4308,1f46d3a38790ad1e,SAME,ws9_corrections.py
run_ws8[rule-source, not imported]:genset_eta_for_correction,run_ws8[rule-source, not imported],genset_eta_for_correction,run_ws8,True,3308,93ae0ff3d932592e,SAME,ws9_corrections.py
ws8_candidates:Candidate,ws8_candidates,Candidate,ws8_candidates,True,8517,6e8abcd0d0d5628a,SAME,ws9_candidates.py
ws8_candidates:Ctx,ws8_candidates,Ctx,ws8_candidates,True,2620,d21612c9af0a376a,SAME,ws9_candidates.py
ws8_candidates:EDRIVE_RATIO,ws8_candidates,EDRIVE_RATIO,ws8_candidates,True,19,a636bb617ae1e88a,SAME,ws9_candidates.py
ws8_candidates:FRICTION_BRAKE_CONT_ALLOWANCE_KW,ws8_candidates,FRICTION_BRAKE_CONT_ALLOWANCE_KW,ws8_candidates,True,39,c25fed85feb94e8b,SAME,ws9_candidates.py
ws8_candidates:GensetLine,ws8_candidates,GensetLine,ws8_candidates,True,4043,846df5d2a3bc636f,SAME,ws9_candidates.py;ws9_primemover.py
ws8_candidates:SPIN_IDLE_FORCE_N,ws8_candidates,SPIN_IDLE_FORCE_N,ws8_candidates,True,23,cdac2424d51d5884,SAME,ws9_candidates.py;ws9_concordance.py
ws8_candidates:SPIN_IDLE_V_MIN_MS,ws8_candidates,SPIN_IDLE_V_MIN_MS,ws8_candidates,True,24,d2c40722ccade81a,SAME,ws9_candidates.py;ws9_concordance.py
ws8_candidates:SUSTAINED_CLIMB_S,ws8_candidates,SUSTAINED_CLIMB_S,ws8_candidates,True,25,4e8dd69748e804ae,SAME,ws9_candidates.py
ws8_candidates:_moving_average,ws8_candidates,_moving_average,ws8_candidates,True,236,f8d8b095842ae887,SAME,ws9_candidates.py
ws8_candidates:regen_blend,ws8_candidates,regen_blend,ws8_candidates,True,144,7511304dd30bf15b,SAME,ws9_candidates.py
ws8_candidates:series_bus_demand,ws8_candidates,series_bus_demand,ws8_candidates,True,1613,222a75532c81dc5a,SAME,ws9_candidates.py
ws8_candidates:size_edrive_for_startability,ws8_candidates,size_edrive_for_startability,ws8_candidates,True,333,986163ded8fa64bc,SAME,ws9_candidates.py
ws8_candidates:startability_force_N,ws8_candidates,startability_force_N,ws8_candidates,True,191,1b4faa60450f005c,SAME,ws9_blocks.py;ws9_candidates.py
ws8_cycles:CY,ws8_cycles,CY,ws8_params,True,12,10fe8ececba805db,SAME,ws9_duty.py
ws8_cycles:DS_GRID,ws8_cycles,DS_GRID,ws8_cycles,True,14,8429a6e258c1f15f,SAME,ws9_duty.py
ws8_cycles:build_linehaul,ws8_cycles,build_linehaul,ws8_cycles,True,2311,d14c35914d8bc9e1,SAME,ws9_duty.py
ws8_cycles:build_regional,ws8_cycles,build_regional,ws8_cycles,True,2564,26f7110a5770d529,SAME,ws9_duty.py
ws8_cycles:grade_statistics,ws8_cycles,grade_statistics,ws8_cycles,True,1029,2c696713a30fabab,SAME,ws9_duty.py
ws8_cycles:seeds,ws8_cycles,seeds,ws8_cycles,True,65,e0d021e1c5d016da,SAME,ws9_duty.py
ws8_electric:CELLS,ws8_electric,CELLS,None,False,None,,SAME,ws9_storage.py
ws8_electric:Pack8,ws8_electric,Pack8,ws8_electric,True,4422,9e224de42b845fcd,SAME,run_ws9.py;ws9_blocks.py;ws9_storage.py
ws8_electric:ScaledEDrive,ws8_electric,ScaledEDrive,ws8_electric,True,8416,bc3384c80035e0cf,SAME,ws9_blocks.py;ws9_candidates.py
ws8_electric:resistor_mass_kg,ws8_electric,resistor_mass_kg,ws8_electric,True,89,5e964cc33a3bcdaf,SAME,ws9_candidates.py;ws9_storage.py
ws8_electric:scaled_generator,ws8_electric,scaled_generator,ws8_electric,True,1439,398aba04365911f1,SAME,ws9_candidates.py;ws9_primemover.py
ws8_engine:AMT,ws8_engine,AMT,ws8_engine,True,6195,282b520f98fff4ff,SAME,ws9_candidates.py
ws8_engine:BSFC_ISLAND_TARGET,ws8_engine,BSFC_ISLAND_TARGET,ws8_engine,True,110,aa4b7cf8ce898bf5,SAME,ws9_engines.py
ws8_engine:ENGINES,ws8_engine,ENGINES,ws8_engine,True,97,238b9c9685928172,SAME,ws9_candidates.py;ws9_engines.py
ws8_engine:ENG_11L,ws8_engine,ENG_11L,ws8_engine,True,207,f34205c6d920ec65,SAME,run_ws9.py
ws8_engine:ENG_13L,ws8_engine,ENG_13L,ws8_engine,True,192,c2cc2643af190e2e,SAME,run_ws9.py;ws9_engines.py
ws8_engine:ENG_7L,ws8_engine,ENG_7L,ws8_engine,True,197,04cbf44b2d764caf,SAME,ws9_candidates.py;ws9_primemover.py
ws8_engine:FMEP_HD,ws8_engine,FMEP_HD,ws8_engine,True,29,7f8f7e69d1a9aaca,SAME,ws9_engines.py
ws8_engine:HDWillansEngine,ws8_engine,HDWillansEngine,ws8_engine,True,1068,17200fe16f5567ab,SAME,ws9_engines.py
ws8_engine:RPM_13L,ws8_engine,RPM_13L,ws8_engine,True,103,2b99b2be19669b85,SAME,ws9_engines.py
ws8_engine:RPM_7L,ws8_engine,RPM_7L,ws8_engine,True,67,012449a89d5c1e3a,SAME,ws9_engines.py
ws8_engine:TRQ_13L,ws8_engine,TRQ_13L,ws8_engine,True,104,ddcec630bacc7519,SAME,ws9_engines.py
ws8_engine:TRQ_7L,ws8_engine,TRQ_7L,ws8_engine,True,65,91ec11e8f4396fef,SAME,ws9_engines.py
ws8_engine:build_engine,ws8_engine,build_engine,ws8_engine,True,442,ea979209a7403bd6,SAME,ws9_engines.py
ws8_engine:derate_factor,ws8_engine,derate_factor,None,False,None,,SAME,ws9_blocks.py;ws9_engines.py
ws8_engine:derated_engine,ws8_engine,derated_engine,ws8_engine,True,748,721e6a4430b6c3a7,SAME,ws9_engines.py
ws8_engine:fuel_L_per_100km,ws8_engine,fuel_L_per_100km,ws8_engine,True,169,ffedc022677be95f,SAME,run_ws9.py
ws8_engine:fuel_energy_MJ,ws8_engine,fuel_energy_MJ,ws8_engine,True,69,ae22f681a22eeb46,SAME,ws9_candidates.py;ws9_corrections.py
ws8_engine:idle_fuel_gps,ws8_engine,idle_fuel_gps,ws8_engine,True,715,0dfc869085655460,SAME,ws9_candidates.py
ws8_params:ADH,ws8_params,ADH,ws8_params,True,16,cce66aeefbbb049f,SAME,run_ws9.py;ws9_blocks.py;ws9_candidates.py;ws9_params.py
ws8_params:AUX,ws8_params,AUX,ws8_params,True,11,7561f8a4425a1c12,SAME,run_ws9.py;ws9_blocks.py;ws9_candidates.py;ws9_params.py
ws8_params:CY,ws8_params,CY,ws8_params,True,12,10fe8ececba805db,SAME,ws9_params.py
ws8_params:DIESEL_DENSITY_KG_PER_L,ws8_params,DIESEL_DENSITY_KG_PER_L,ws8_params,True,70,ff8d8822148194ec,SAME,ws9_params.py
ws8_params:DL,ws8_params,DL,ws8_params,True,16,90b928d350543a3f,SAME,run_ws9.py;ws9_blocks.py;ws9_candidates.py;ws9_params.py
ws8_params:ENGINE_HEAT_TO_COOLANT_FRAC,ws8_params,ENGINE_HEAT_TO_COOLANT_FRAC,ws8_params,True,34,06bed5a1692309a8,SAME,run_ws9.py
ws8_params:G,ws8_params,G,ws8_params,True,17,a9b67dfc6f46c569,SAME,run_ws9.py;ws9_blocks.py;ws9_candidates.py;ws9_params.py;ws9_storage.py;ws9_walls.py
ws8_params:LHV_KJ_PER_G,ws8_params,LHV_KJ_PER_G,ws8_params,True,68,21290705865df0bd,SAME,run_ws9.py;ws9_blocks.py;ws9_candidates.py;ws9_corrections.py;ws9_engines.py;ws9_params.py
ws8_params:ML,ws8_params,ML,ws8_params,True,17,db038f6f6074a024,SAME,run_ws9.py;ws9_blocks.py;ws9_candidates.py;ws9_params.py
ws8_params:SC,ws8_params,SC,ws8_params,True,14,aef099828fcf4490,SAME,ws9_params.py
ws8_params:VEH,ws8_params,VEH,ws8_params,True,15,d9945c093d092df1,SAME,run_ws9.py;ws9_blocks.py;ws9_candidates.py;ws9_params.py;ws9_storage.py;ws9_walls.py
ws8_physics:DriverParams,ws8_physics,DriverParams,ws8_physics,True,1003,bd5ca357af43e6b8,SAME,run_ws9.py
ws8_physics:build_env_tables,ws8_physics,build_env_tables,ws8_physics,True,1107,3bf9c2a435fcbb02,SAME,run_ws9.py;ws9_blocks.py
ws8_physics:integrate_achieved,ws8_physics,integrate_achieved,ws8_physics,True,8309,84c7a6e278b4591e,SAME,run_ws9.py
ws8_physics:road_load_force,ws8_physics,road_load_force,ws8_physics,True,1098,60d94930b5ee4ead,SAME,run_ws9.py;ws9_blocks.py;ws9_candidates.py;ws9_storage.py;ws9_walls.py
ws8_physics:trace_metrics,ws8_physics,trace_metrics,ws8_physics,True,1640,56497c75ac905274,SAME,run_ws9.py
ws8_whr:SYSTEMS,ws8_whr,SYSTEMS,ws8_whr,True,51,8c2e9ede298adbd4,SAME,run_ws9.py
